title,company,location,salary_min,salary_max,contract_time,description,url,avg_salary,is_senior,is_junior,location_code
data analyst,Girl Scouts,"Memphis, Shelby County",79069.45,79069.45,,"Job Title: Data Analyst Location: REMOTE About Us : At Girls Scouts, we’re on a mission to turn data",https://www.adzuna.com/land/ad/5127897416?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=A0EC529A5AD068F14221DC9B9F4FE2A69F88B54B,79069.45,0,0,22
data analyst,Customer Driven Staffing - Tennessee,"Chattanooga, Hamilton County",50369.0,50369.0,,Job Description Job Description We are seeking an exceptional and experienced Data Analyst Professio,https://www.adzuna.com/land/ad/5119517891?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=C1F62FCA62337BF40E4F453EBC4B1F4C05E5D2DA,50369.0,0,0,8
product data analyst,Eliassen Group,"Charlotte, Mecklenburg County",89167.47,89167.47,,"Job Description Job Description Description: Hybrid | Charlotte, NC The Product Analyst will provide",https://www.adzuna.com/land/ad/5129582359?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=D9DC9E33229F0B4CD4EDC6B33F9BE25DD0F5A9A2,89167.47,0,0,7
staff data analyst,Pura,"Pleasant Grove, Utah County",69199.48,69199.48,,Job Description Job Description Staff Data Analyst Join Us at Pura—Reimagining Fragrance for the Fut,https://www.adzuna.com/land/ad/5135743517?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=97BC7FA9D7033E732CF33456C7375351A7CDEEC0,69199.48,0,0,28
data analyst,US Main,"South El Monte, Los Angeles County",86140.03,86140.03,,"Data Analyst (South El Monte, CA) Gather & analyze data & provide techn'l expertise in data storage ",https://www.adzuna.com/land/ad/5133418687?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=CA506B11137997D772F76BBC2718E317210BADAC,86140.03,0,0,34
data analyst,ELLIANSE LLC.,"Lauderdale, Ramsey County",47011.35,47011.35,,"Greetings, We offer comprehensive Business Analyst Training and placement services for freshers who ",https://www.adzuna.com/land/ad/5123921070?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=648650E19E80CE04CAE24AD6E16F5EED35BB5B90,47011.35,0,0,20
data analyst,NTT Data,"State Farm, Arlington County",106377.26,106377.26,full_time,"NTT DATA strives to hire exceptional, innovative and passionate individuals who want to grow with us",https://www.adzuna.com/land/ad/5133698560?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=1963DC87B2F3B234F68BEE4060E00639B9B6BC66,106377.26,0,0,35
sr. product data analyst,Realtor.com Careers,"Austin, Travis County",132399.23,132399.23,,"Job Description Job Description Recognized as the No. 1 site trusted by real estate professionals, R",https://www.adzuna.com/land/ad/5131271276?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=A4F96A992569105EEC208BBB877E7D3971433F4F,132399.23,0,0,3
senior product data analyst,Abnormal Security,"New York City, New York",118068.91,118068.91,,Job Description Job Description Your Impact on our Mission We are looking for a Product Analyst to j,https://www.adzuna.com/land/ad/5096541575?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=1939600AB732CBB8A323AADF7E04CE728A846C63,118068.91,1,0,25
data analyst,Clarity,"Florham Park, Morris County",87399.3,87399.3,,Job Description Job Description One of our top clients is looking for a temporary Data Analyst IT co,https://www.adzuna.com/land/ad/5138156689?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=B1C668022B1772B84FFD50C2B0080966C158602F,87399.3,0,0,11
"data analyst, lead",Talent Software Services,"Minnetonka Mills, Hennepin County",110059.88,110059.88,,"Data Analyst, Lead Job Summary: Talent Software Services is in search of a Data Analyst, Lead for a ",https://www.adzuna.com/land/ad/5130999495?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=8C4C36306DC68217E40ECED83F3EBBF967B3C737,110059.88,0,0,23
accounting data analyst,"TM ACCOUNTANT, INC.","Arlington Heights, Cook County",95610.56,95610.56,,"TM Accountant, Inc. in Arlington Hts, IL seeks Accounting Data Analyst w/BS in Fin, Acctg, Econ or r",https://www.adzuna.com/land/ad/5133418543?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=53448ADD77AEA155031E74664BA707CC22D7BFB5,95610.56,0,0,1
sr. data analyst,INSPYR Solutions,"Medley, Miami-Dade County",91294.73,91294.73,,"Title: Sr. Data Analyst Location: Miami, FL (3/2 hybrid) Duration: 6 months Compensation: $35.00 - 3",https://www.adzuna.com/land/ad/5126113691?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=AFD3C941CB1E536A19E3C250935A2B027E9AF4D9,91294.73,0,0,21
data analyst v,Talent Software Services,"Mount Rainier, Prince George's County",88405.75,88405.75,,"We are seeking a highly skilled professional to join our team in Washington, DC. This role involves ",https://www.adzuna.com/land/ad/5137035912?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=C03BBF2B37CBC0646D94CF8E7A49CE1F3A26B6FB,88405.75,0,0,24
data analyst,Uline,"Pleasant Prairie, Kenosha County",92823.72,92823.72,,"Data Analyst Corporate Headquarters 12575 Uline Dr. Pleasant Prairie, WI 53158 We're passionate abou",https://www.adzuna.com/land/ad/5120824976?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=0774C9A7399BFBC7614D3FD8BA553ED20F2E1AAA,92823.72,0,0,29
data analyst i,JT4 LLC,"Edwards Air Force Base, Kern County",80306.88,80306.88,,"JT4, LLC provides engineering and technical support to multiple western test ranges for the U.S. Air",https://www.adzuna.com/land/ad/5106275836?se=JHPxU_gV8BGckdAhCbaCew&utm_medium=api&utm_source=35e20e56&v=1E04B6C78BA2E9C25CE4B2DC16E96CBFCBF0EB51,80306.88,0,0,9
