title,company,location,salary_min,salary_max,contract_time,description,url,avg_salary,is_senior,is_junior,location_code,predicted_salary
data analyst,Makeship,"Toronto, Ontario",90000.0,110000.0,full_time,"About the Company Makeship empowers influencers, creators, and brands of all sizes to develop and la",https://www.adzuna.ca/details/5089085696?utm_medium=api&utm_source=35e20e56,100000.0,0,0,1198,116594.87649904759
data analyst,Tailscale,Canada,156512.0,195640.0,full_time,About Tailscale Tailscale is building the new Internet by delivering software that makes it easy to ,https://www.adzuna.ca/details/5107891765?utm_medium=api&utm_source=35e20e56,176076.0,0,0,173,93733.16464833169
data analyst,ScalePad,"Canada Place, Vancouver",80000.0,100000.0,full_time,We're Hiring We're looking for brilliant thinkers to join our Rocketeers. If you've ever wondered wh,https://www.adzuna.ca/details/5112348642?utm_medium=api&utm_source=35e20e56,90000.0,0,0,174,91760.20309692294
data analyst,Pavarini Construction Inc,Canada,48000.0,48000.0,full_time,Pavarini Construction Co. is a full-service construction management and general contracting firm ded,https://www.adzuna.ca/details/5027159618?utm_medium=api&utm_source=35e20e56,48000.0,0,0,173,93733.16464833169
customer data analyst,League,Canada,99200.0,124000.0,full_time,"About League Founded in 2014, and with a total funding currently at $220 million; League is a platfo",https://www.adzuna.ca/details/5099186981?utm_medium=api&utm_source=35e20e56,111600.0,0,0,173,93733.16464833169
senior data analyst,PurposeMed,"Toronto, Ontario",106000.0,128000.0,full_time,About us: PurposeMed was founded in 2019 with the mission of improving access to complex care for un,https://www.adzuna.ca/details/5106740213?utm_medium=api&utm_source=35e20e56,117000.0,1,0,1198,158583.9186
senior data analyst,dentsu,Canada,65000.0,75000.0,full_time,Job Description: We are Dentsu. We innovate in the way brands are built. That means we do things dif,https://www.adzuna.ca/details/5112373626?utm_medium=api&utm_source=35e20e56,70000.0,1,0,173,112055.90843349259
business data analyst,RideCo,"Waterloo, Waterloo region",70000.0,90000.0,full_time,This is an opportunity in the exciting and fast-growing transportation technology industry. Public t,https://www.adzuna.ca/details/4962287616?utm_medium=api&utm_source=35e20e56,80000.0,0,0,1264,85925.72417173201
"data analyst, marketing",Outschool,Canada,150000.0,165000.0,full_time,"The Company: Outschool’s mission is to inspire kids to love learning. In our fast-changing world, th",https://www.adzuna.ca/details/5081276469?utm_medium=api&utm_source=35e20e56,157500.0,0,0,173,93733.16464833169
research data analyst,University of Saskatchewan,Canada,52050.0,81328.0,full_time,Primary Purpose: To support data infrastructure and data centered applications as integral parts of ,https://www.adzuna.ca/details/5051978902?utm_medium=api&utm_source=35e20e56,66689.0,0,0,173,93733.16464833169
data analyst – bi & data engineering,Recrute Action,"Yorkville, City of Toronto",97760.0,118560.0,full_time,Data Analyst – BI & Data Engineering We have an open role in the insurance industry for a versatile ,https://www.adzuna.ca/details/5124394028?utm_medium=api&utm_source=35e20e56,108160.0,0,0,1347,115455.19022285717
data analyst - informatics and systems,Pearl Technologies LTD.,"Toronto, Ontario",89440.0,89440.0,full_time,"Pearl Technologies LTD. is hiring for Data analyst - informatics and systems position at Toronto, On",https://www.adzuna.ca/details/4665340770?utm_medium=api&utm_source=35e20e56,89440.0,0,0,1198,116594.87649904759
data analyst (market pricing),Farm Credit Canada,"Regina region, Saskatchewan",79648.0,107760.0,full_time,Closing Date (MM/DD/YYYY): 04/22/2025 Worker Type: Term (Fixed Term) Language(s) Required: English T,https://www.adzuna.ca/details/5137223138?utm_medium=api&utm_source=35e20e56,93704.0,0,0,986,131269.50874877383
sr. marketing data analyst,Dialpad,"Vancouver, Greater Vancouver",123300.0,145000.0,,About Dialpad Dialpad is the leading Ai-powered customer communications platform creating human-firs,https://www.adzuna.ca/details/5019477058?utm_medium=api&utm_source=35e20e56,134150.0,0,0,1232,110740.25439999999
product reliability data analyst,MineSense Technologies Ltd.,"Vancouver, Greater Vancouver",90000.0,100000.0,,"Be part of something incredible. Metals are necessary for our world, but mining historically faced i",https://www.adzuna.ca/details/5123035170?utm_medium=api&utm_source=35e20e56,95000.0,0,0,1232,110740.25439999999
"data analyst, warehouse operations",Babylist,Canada,129500.0,161435.0,,"Who We Are Babylist is the trusted platform for millions of growing families. For over a decade, Bab",https://www.adzuna.ca/details/5099194424?utm_medium=api&utm_source=35e20e56,145467.5,0,0,173,93733.16464833169
"data analyst, inst reporting",Jobs Searching,Canada,51488.0,65648.0,part_time,"Job Summary: This position is responsible for research, analysis, report writing, and data interpret",https://www.adzuna.ca/details/4881927315?utm_medium=api&utm_source=35e20e56,58568.0,0,0,173,93733.16464833169
senior business and data analyst,Sierra Wireless ULC,Canada,75000.0,95000.0,full_time,"Location: Vancouver, BC, Canada Job Summary: Join Semtech to deliver exceptional service and support",https://www.adzuna.ca/details/5015603075?utm_medium=api&utm_source=35e20e56,85000.0,1,0,173,112055.90843349259
data & analytics - senior data analyst,Aritzia,Canada,100000.0,150000.0,full_time,THE TEAM The mission of the Data & Analytics Department is to provide the business with actionable a,https://www.adzuna.ca/details/4967874646?utm_medium=api&utm_source=35e20e56,125000.0,1,0,173,112055.90843349259
customer success systems and data analyst,Magnet Forensics,Canada,87200.0,130800.0,,Who We Are; What We Do; Where We’re Going Magnet Forensics is a global leader in the development of ,https://www.adzuna.ca/details/5092238751?utm_medium=api&utm_source=35e20e56,109000.0,0,0,173,93733.16464833169
data analyst - talha aslam alvi,Fake,"Greater Sudbury, Ontario",83200.0,114400.0,full_time,"Someone who can understand business data, interpret it and assist in decision making on the basis of",https://www.adzuna.ca/details/4801455768?utm_medium=api&utm_source=35e20e56,98800.0,0,0,470,89331.2120056373
senior data analyst (contract or temporary assignment),EDC,"Ottawa, Ottawa region",94664.0,126219.0,full_time,Candidates must meet the requisite government security screening requirements. Application deadline ,https://www.adzuna.ca/details/5135479490?utm_medium=api&utm_source=35e20e56,110441.5,1,0,883,115695.54116666669
everpro: growth data analyst (remote ontario/canada),Zenvoice Software,Canada,100000.0,120000.0,full_time,"At EverCommerce [Nasdaq: EVCM], we are on a mission to digitally transform the service economy with ",https://www.adzuna.ca/details/5129305258?utm_medium=api&utm_source=35e20e56,110000.0,0,0,173,93733.16464833169
data engineering analyst,Shipyards,"North Vancouver, Greater Vancouver",72900.0,87400.0,full_time,"Description Reporting to the Manager, Data Digital Enablement, the Data Engineering Analyst will col",https://www.adzuna.ca/details/4985465931?utm_medium=api&utm_source=35e20e56,80150.0,0,0,843,101834.74682285715
"data & analytics - senior data analyst, advanced analytics, digital",Aritzia,Canada,100000.0,150000.0,full_time,THE TEAM The mission of the Data & Analytics Department is to maximize the value of Aritzia’s data b,https://www.adzuna.ca/details/4981945117?utm_medium=api&utm_source=35e20e56,125000.0,1,0,173,112055.90843349259
variable data programmer - analyst,Formost mediaOne,"Woodbridge, York region",40000.0,60000.0,part_time,Job Summary: Variable Data Programmer (VDP) processes mailing data and programs for output on digita,https://www.adzuna.ca/details/4801426280?utm_medium=api&utm_source=35e20e56,50000.0,0,0,1339,62614.59407333331
"data analyst intern, business banking, summer 2025 (co-op/internship) - 4 months",Bank of Montreal,"Toronto, Ontario",37500.0,69500.0,full_time,Application Deadline: 04/02/2025 Address: 33 Dundas Street West Job Family Group: Data Analytics & R,https://www.adzuna.ca/details/5126616782?utm_medium=api&utm_source=35e20e56,53500.0,0,0,1198,116594.87649904759
corporate actions & data notification - analyst-2,Bank of Montreal,Canada,37500.0,69500.0,full_time,Application Deadline: 04/29/2025 Address: VIRTUAL59 - REMOTE/TELETRAVAIL - ON - BMO Job Family Group,https://www.adzuna.ca/details/5135673503?utm_medium=api&utm_source=35e20e56,53500.0,0,0,173,93733.16464833169
